base,G1_Rhythmic,G2_Classical,G3_HardRock,max_diff,dominant_group
popularity,0.02554084851211748,0.01804087515439399,0.03194362309568371,0.01390274794128972,G3_HardRock
duration_ms,0.016828035182788435,0.04437541352821118,0.03974837552170169,0.027547378345422743,G2_Classical
explicit,0,0,0,0,G1_Rhythmic
danceability,0.016646511609534842,0.07988698532191507,0.06759961036288496,0.06324047371238023,G2_Classical
loudness,0.020830400495873844,0.025432894867434698,0.01840168472272142,0.007031210144713279,G2_Classical
speechiness,0.022010785249095086,0.01100770570215429,0.030076492747500017,0.019068787045345727,G3_HardRock
acousticness,0.041087631219944604,0.01266455173632346,0.011512854935468409,0.029574776284476197,G1_Rhythmic
instrumentalness,0.011706339266463988,0.009826711726962417,0.005455791520055837,0.006250547746408151,G1_Rhythmic
liveness,0.03183342355273548,0.027888446728284035,0.011475702599598736,0.020357720953136746,G1_Rhythmic
tempo,0.009755045868922684,0.024550919770326165,0.03255629758993304,0.022801251721010354,G3_HardRock
(Intercept),0.7003706097602844,0.30206307768821716,0.5033933520317078,0.39830753207206726,G1_Rhythmic
